time,vehicle_id,x,y,speed
106.00,flow0.20,-2713.97,3911.61,9.82
106.00,flow0.21,-2755.12,3911.61,6.21
106.00,flow0.22,-2779.51,3911.61,3.26
106.00,flow0.23,-2787.49,3911.61,0.00
107.00,flow0.20,-2703.43,3911.61,10.55
107.00,flow0.21,-2748.35,3911.61,6.77
107.00,flow0.22,-2775.61,3911.61,3.89
107.00,flow0.23,-2787.09,3911.61,0.40
108.00,flow0.20,-2692.30,3911.61,11.12
108.00,flow0.21,-2740.65,3911.61,7.70
108.00,flow0.22,-2771.01,3911.61,4.61
108.00,flow0.23,-2785.69,3911.61,1.40
109.00,flow0.21,-2732.33,3911.61,8.32
109.00,flow0.22,-2765.80,3911.61,5.20
109.00,flow0.23,-2783.32,3911.61,2.38
110.00,flow0.21,-2723.09,3911.61,9.25
110.00,flow0.22,-2759.63,3911.61,6.18
110.00,flow0.23,-2780.43,3911.61,2.89
111.00,flow0.21,-2713.31,3911.61,9.77
111.00,flow0.22,-2752.77,3911.61,6.85
111.00,flow0.23,-2776.87,3911.61,3.55
111.00,flow0.24,-2787.49,3911.61,0.00
112.00,flow0.21,-2702.92,3911.61,10.40
112.00,flow0.22,-2745.19,3911.61,7.59
112.00,flow0.23,-2772.43,3911.61,4.45
112.00,flow0.24,-2786.88,3911.61,0.61
113.00,flow0.21,-2691.93,3911.61,10.99
113.00,flow0.22,-2736.81,3911.61,8.38
113.00,flow0.23,-2767.19,3911.61,5.23
113.00,flow0.24,-2785.54,3911.61,1.35
114.00,flow0.22,-2727.70,3911.61,9.11
114.00,flow0.23,-2761.03,3911.61,6.16
114.00,flow0.24,-2783.40,3911.61,2.13
115.00,flow0.22,-2717.88,3911.61,9.83
115.00,flow0.23,-2754.37,3911.61,6.66
115.00,flow0.24,-2780.31,3911.61,3.09
116.00,flow0.22,-2707.18,3911.61,10.70
116.00,flow0.23,-2746.77,3911.61,7.60
116.00,flow0.24,-2776.68,3911.61,3.63
116.00,flow0.25,-2787.49,3911.61,0.00
117.00,flow0.22,-2695.95,3911.61,11.23
117.00,flow0.23,-2738.23,3911.61,8.54
117.00,flow0.24,-2772.36,3911.61,4.32
117.00,flow0.25,-2786.58,3911.61,0.91
118.00,flow0.22,-2683.75,3911.61,12.20
118.00,flow0.23,-2728.83,3911.61,9.39
118.00,flow0.24,-2767.44,3911.61,4.92
118.00,flow0.25,-2784.72,3911.61,1.86
119.00,flow0.23,-2718.59,3911.61,10.25
119.00,flow0.24,-2761.62,3911.61,5.82
119.00,flow0.25,-2781.98,3911.61,2.74
120.00,flow0.23,-2707.81,3911.61,10.77
120.00,flow0.24,-2755.23,3911.61,6.39
120.00,flow0.25,-2778.72,3911.61,3.27
