time,vehicle_id,x,y,speed,anomaly
121.0,flow0.26,-2786.95,3911.61,0.54,False
122.0,flow0.23,-2684.32,3911.61,11.92,True
122.0,flow0.24,-2740.5,3911.61,7.7,False
122.0,flow0.25,-2769.72,3911.61,4.89,False
122.0,flow0.26,-2785.88,3911.61,1.08,False
123.0,flow0.24,-2732.29,3911.61,8.21,False
123.0,flow0.25,-2763.87,3911.61,5.85,False
123.0,flow0.26,-2783.9,3911.61,1.98,False
124.0,flow0.24,-2723.22,3911.61,9.07,False
124.0,flow0.25,-2757.41,3911.61,6.46,False
124.0,flow0.26,-2781.13,3911.61,2.77,False
125.0,flow0.24,-2713.64,3911.61,9.58,False
125.0,flow0.25,-2750.07,3911.61,7.34,False
125.0,flow0.26,-2777.44,3911.61,3.69,False
125.0,flow0.27,-2787.49,3911.61,0.0,False
126.0,flow0.24,-2703.29,3911.61,10.36,False
126.0,flow0.25,-2742.02,3911.61,8.05,False
126.0,flow0.26,-2772.91,3911.61,4.53,False
126.0,flow0.27,-2786.73,3911.61,0.76,False
127.0,flow0.24,-2692.05,3911.61,11.24,False
127.0,flow0.25,-2733.37,3911.61,8.65,False
127.0,flow0.26,-2767.67,3911.61,5.24,False
127.0,flow0.27,-2785.24,3911.61,1.5,False
128.0,flow0.25,-2724.16,3911.61,9.21,False
128.0,flow0.26,-2761.87,3911.61,5.8,False
128.0,flow0.27,-2782.91,3911.61,2.33,False
129.0,flow0.25,-2714.31,3911.61,9.85,False
129.0,flow0.26,-2755.32,3911.61,6.55,False
129.0,flow0.27,-2779.69,3911.61,3.23,False
129.0,flow0.28,-2787.49,3911.61,0.0,False
130.0,flow0.25,-2703.47,3911.61,10.84,False
130.0,flow0.26,-2748.19,3911.61,7.13,False
130.0,flow0.27,-2775.71,3911.61,3.97,False
130.0,flow0.28,-2787.28,3911.61,0.21,False
131.0,flow0.25,-2691.86,3911.61,11.61,False
131.0,flow0.26,-2740.48,3911.61,7.71,False
131.0,flow0.27,-2770.88,3911.61,4.83,False
131.0,flow0.28,-2786.16,3911.61,1.12,False
132.0,flow0.26,-2732.1,3911.61,8.39,False
132.0,flow0.27,-2765.22,3911.61,5.66,False
132.0,flow0.28,-2784.38,3911.61,1.77,False
133.0,flow0.26,-2722.78,3911.61,9.32,False
133.0,flow0.27,-2758.85,3911.61,6.37,False
133.0,flow0.28,-2781.97,3911.61,2.42,False
134.0,flow0.26,-2712.77,3911.61,10.0,False
134.0,flow0.27,-2751.57,3911.61,7.28,False
134.0,flow0.28,-2778.96,3911.61,3.01,False
134.0,flow0.29,-2787.49,3911.61,0.0,False
135.0,flow0.26,-2702.2,3911.61,10.57,False
135.0,flow0.27,-2743.33,3911.61,8.24,False
135.0,flow0.28,-2775.01,3911.61,3.95,False
135.0,flow0.29,-2786.83,3911.61,0.66,False
136.0,flow0.26,-2691.1,3911.61,11.11,True
136.0,flow0.27,-2734.56,3911.61,8.76,False
136.0,flow0.28,-2770.47,3911.61,4.54,False
136.0,flow0.29,-2785.51,3911.61,1.31,False
137.0,flow0.27,-2724.81,3911.61,9.76,False
137.0,flow0.28,-2765.25,3911.61,5.23,False
137.0,flow0.29,-2783.64,3911.61,1.88,False
138.0,flow0.27,-2714.46,3911.61,10.35,False
138.0,flow0.28,-2759.51,3911.61,5.74,False
138.0,flow0.29,-2781.03,3911.61,2.6,False
139.0,flow0.27,-2703.3,3911.61,11.16,False
139.0,flow0.28,-2753.23,3911.61,6.28,False
139.0,flow0.29,-2777.44,3911.61,3.59,False
139.0,flow0.30,-2787.49,3911.61,0.0,False
140.0,flow0.27,-2691.49,3911.61,11.81,False
140.0,flow0.28,-2746.05,3911.61,7.18,False
140.0,flow0.29,-2773.35,3911.61,4.1,False
140.0,flow0.30,-2786.57,3911.61,0.92,False
141.0,flow0.28,-2738.2,3911.61,7.85,False
141.0,flow0.29,-2768.69,3911.61,4.66,False
141.0,flow0.30,-2784.73,3911.61,1.84,False
142.0,flow0.28,-2729.61,3911.61,8.59,False
142.0,flow0.29,-2763.23,3911.61,5.46,False
142.0,flow0.30,-2782.21,3911.61,2.52,False
143.0,flow0.28,-2720.46,3911.61,9.15,False
143.0,flow0.29,-2756.79,3911.61,6.44,False
143.0,flow0.30,-2778.7,3911.61,3.51,False
143.0,flow0.31,-2787.49,3911.61,0.0,False
144.0,flow0.28,-2710.38,3911.61,10.08,False
144.0,flow0.29,-2749.41,3911.61,7.38,False
144.0,flow0.30,-2774.55,3911.61,4.15,False
144.0,flow0.31,-2786.87,3911.61,0.62,False
145.0,flow0.28,-2699.79,3911.61,10.59,False
145.0,flow0.29,-2741.41,3911.61,8.0,False
145.0,flow0.30,-2769.64,3911.61,4.91,False
145.0,flow0.31,-2785.55,3911.61,1.31,False
146.0,flow0.28,-2688.26,3911.61,11.53,True
146.0,flow0.29,-2732.59,3911.61,8.82,False
146.0,flow0.30,-2764.09,3911.61,5.56,False
146.0,flow0.31,-2783.36,3911.61,2.2,False
147.0,flow0.29,-2723.06,3911.61,9.53,False
147.0,flow0.30,-2757.53,3911.61,6.55,False
147.0,flow0.31,-2780.51,3911.61,2.84,False
